,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,label
75,-0.075652517,-0.715560344,-0.023315519,-0.539672835,0.625555835,0.314976876,-1.189525208,0.821938113,0.056032502000000005,0.177269299,0.8680565640000001,-0.389016955,1.039702584,0.9137115509999999,-1.5444029430000001,0.170759062,0.44768694,-1.1658056940000001,-0.77582118,7
76,-0.129195156,-0.577198743,0.150489911,-0.452862772,0.574028161,0.34296240299999997,-1.073462994,0.7539122709999999,0.095779835,0.056533611,0.7489070659999999,-0.09369389199999999,0.42672879399999997,0.618967788,-0.7848340540000001,-0.017252828,0.205409465,-1.015300915,0.49510425799999996,7
77,-0.244712455,-0.5563049210000001,-0.016997329,-0.62797208,0.536426895,0.42011091700000003,-1.20798408,0.722013612,0.15231713800000002,0.35253516100000004,1.14656556,-0.49514965299999997,0.596842251,0.997601735,-1.646885797,-0.223843033,0.127820835,-1.2801904,-0.015010475,7
79,-0.019423565,-0.20984740699999999,0.067928509,-0.427253979,0.214477163,0.229642168,-0.980325364,1.08824062,0.19254452,0.361276017,1.252583505,-0.664321905,0.526764785,0.558621419,-1.987936011,-0.319727324,0.36021817899999997,-1.511524069,-0.23319774100000001,7
80,-0.129460432,-0.330803745,-0.164480785,-0.509123993,0.19722635600000002,0.19217091600000002,-0.424033382,0.8475616709999999,-0.211235578,-0.30561885899999996,0.49443474,0.08829208699999999,0.191609472,0.506540752,-0.371901498,-0.001693844,0.013243103999999999,-0.46094718799999995,-0.750860627,7
81,-0.10671121,-0.480379744,-0.04936797,-0.294912416,0.059331743,0.277254173,-0.952725369,0.7978178359999999,0.231125603,0.049457559000000005,1.001267619,-0.20600835399999998,0.057219112,0.656909363,-0.857343909,-0.334804657,-0.336857379,-0.8446934309999999,0.295216188,7
82,-0.055547977000000005,-0.6498756179999999,-0.196567725,-0.006309604,-0.173114899,0.010739137,-0.670358796,0.806502775,-0.036613797000000003,-0.331304406,0.618243726,-0.039731824,0.230910337,0.5456127479999999,-0.729279005,0.20952645,0.334171614,-0.8014123409999999,0.119753242,7
84,-0.7330255090000001,-0.25040024899999996,-0.357998086,0.771417624,-0.942241367,1.235057858,-0.623552614,0.359610914,-0.353981859,0.310429319,-0.203543566,0.542294768,-0.24649014800000002,0.135092035,0.265684707,-0.11569772,0.23210893300000002,0.811024813,0.438005046,8
85,-0.62537512,-0.516015745,-0.226319672,0.482674441,-0.254405485,1.0654547970000001,-0.445695995,0.328635772,-0.254930902,0.64571168,-0.12173838,0.692574265,0.46538455700000003,0.294348677,-0.265757654,-0.031465063,-0.354593425,-0.291448496,1.2077294090000001,8
86,-0.594211523,-0.6867698170000001,-0.33114475,0.610272939,-0.315145535,0.9062074790000001,-0.346674176,0.310404856,-0.339928946,0.453961021,-0.060468698,0.505453575,0.372073936,0.5275878860000001,-0.723993298,0.468104194,0.378590382,-0.44083112399999996,-0.080300359,8
87,-0.569356699,-0.7954176270000001,-0.227283674,0.516516065,-0.133709256,1.153244392,-0.206022887,-0.09347202,0.08815933699999999,0.9836715570000001,-0.18779798,0.907849978,-0.450969695,-0.151393526,0.3846257,0.40752193600000003,0.38870299,-0.200648555,0.59115286,8
88,-0.638797552,-0.739584224,-0.099234294,0.052867230999999994,0.130016147,0.9105208579999999,-0.295773651,0.21942611,-0.231605034,0.642212714,-0.053142325,0.614770052,0.176931112,0.279053802,-0.273830491,0.303196079,0.407277094,-0.147754948,0.882794931,8
89,-0.64034888,-0.7348321090000001,-0.10449139199999999,0.16326152900000002,-0.039600934,0.538692638,0.139587025,0.063436184,-0.180134132,0.64153577,-0.024326076000000002,0.680591389,-0.06355556,0.071953494,-0.11658639900000001,0.60055355,0.473955067,-0.622058581,-0.151211567,8
90,-0.756921873,-0.22465421300000002,0.8069483759999999,0.479662405,-0.183052319,0.7400996009999999,-0.41180517299999997,0.051369495999999994,0.08674899,0.707573615,0.11885086800000001,0.8933592220000001,0.235037771,0.13003208,0.5077565860000001,-0.588699884,-1.557538495,0.50694338,1.482752132,8
91,-0.5024958429999999,-0.838632303,-0.093535861,0.570241764,0.015529565,0.744654659,-0.103676036,-0.196385602,0.218060225,1.189548248,0.14536291199999998,0.8383779109999999,0.09796843,0.177409313,-0.597951326,0.057229300999999996,0.226011408,0.936879812,0.489250546,8
92,-0.44714908200000003,-0.8420737709999999,-0.028294702999999997,0.6696161939999999,0.22777048600000002,0.941983714,0.20342018399999998,-0.325977206,-0.116069786,0.830364263,-0.639675605,1.30595815,-0.286562992,-0.092564941,0.320682906,0.49309103,-0.0737073,-0.06935177599999999,-0.31650212699999997,8
93,-0.372567973,-1.062077861,-0.07866088,0.6371776060000001,0.319466464,0.69990313,0.302524802,-0.495197994,0.08460146,0.893458387,-0.48196438399999997,1.367711881,-0.38269659,-0.42802425299999997,0.363967683,0.656699621,0.54327907,-0.116189111,0.388161465,8
94,-0.39694006299999995,-1.0280184540000001,-0.026060516000000002,0.330625361,0.609685275,0.875702476,-0.151973017,-0.24058495,-0.048068437,1.045049921,-0.373793069,1.0085710559999999,0.157640906,-0.10509803,-0.41892264700000004,0.194263733,0.41093579700000005,0.43608648,0.587083621,8
95,-0.39175696,-1.082891797,-0.061430512,0.263077164,0.45769395399999996,0.801476768,-0.458157428,-0.137606046,0.289356444,0.932454546,-0.08551445,1.086450908,-0.135298311,-0.550205948,-0.16983584300000001,0.280661844,0.664321909,-0.249377767,0.9816695520000001,8
96,-0.597804651,-0.776815191,0.17892775,-0.36922108,0.46771851299999995,-0.09180977800000001,-0.826359352,0.075952117,0.347895795,0.808427287,0.9216879929999999,-0.069446109,-0.029578541,0.160715887,-0.169559426,0.113638992,0.293072006,-0.777036202,-0.728556735,9
97,-0.5213553089999999,-0.824527572,0.10936490199999999,-0.156509887,0.44274767600000003,-0.24113730100000003,-0.45784343299999997,0.22534791699999998,-0.202245163,0.25024324600000003,0.211485535,0.26340643399999997,0.024590231,-0.085472769,-0.267470027,0.247534817,0.430087713,-0.33115001,-1.411783765,9
98,-0.45829801299999995,-0.946072147,0.064469536,-0.187320295,0.585104771,-0.19983642199999999,-0.521741936,0.150665196,0.079745624,0.33238778399999996,0.437553798,0.33986982299999996,0.15073377300000002,0.219207142,0.641558273,0.639259,0.47746796799999996,-0.575335539,-0.25977565,9
99,-0.43259626,-0.977517333,0.11995018699999999,-0.294325442,0.8160560720000001,-0.278671919,-0.822821411,0.37109090299999997,-0.000559322,0.7084023070000001,0.754523589,-0.27633897,0.242352097,0.118531275,-0.984057518,-0.229137786,0.28540885,0.351721246,-1.492692903,9
101,-0.41076746799999997,-0.9020405890000001,0.051123992,-0.18286930399999998,1.198057428,-0.22447356100000002,-1.083747717,0.69994788,0.106752464,0.853743934,1.241712677,-0.6373338620000001,0.280333194,0.45407903,-0.595235109,0.177242951,0.614886743,-0.654930232,-0.784349119,9
103,-0.391247965,-0.790878165,0.069291795,-0.365785951,0.828187615,-0.23840526199999998,-0.868753634,0.275996888,0.337851565,0.806355665,1.079169465,-0.128840239,0.606692325,0.614223555,-0.561396703,0.11447792300000001,0.33727315399999996,-0.018787858,-0.9972727929999999,9
104,-0.44760239399999996,-0.780527512,0.078498043,-0.47713327899999997,0.8377005999999999,-0.026956721,-0.8150313770000001,0.224572777,0.008045543,0.508978277,0.367763952,0.22863663,-0.087966412,-0.17081282600000003,-0.122942972,-0.166147622,0.497291245,0.479601111,-1.15174126,9
105,-0.410774581,-0.839812915,0.036236296,-0.18118610899999998,0.506346567,-0.540886776,-0.513697511,0.179959055,0.060975428,0.505750747,0.48521154200000005,0.259554269,0.366199736,-0.236320335,-0.599223617,0.089399965,0.555774525,-0.5999314689999999,-0.184626325,9
106,-0.41127924200000004,-0.9034353629999999,0.1309555,-0.362759441,0.703395483,-0.454677365,-0.8487297890000001,0.133405714,0.458790837,0.854343911,1.1737369990000002,-0.193808427,0.726657436,0.8313309590000001,-0.42930553,0.372375213,0.383983267,-0.51296071,-0.46509647299999995,9
107,-0.32569248300000003,-0.895511059,0.190491632,-0.41023173,1.128976853,-0.145774235,-1.2124136209999998,0.434001787,0.040091392999999996,0.9318547540000001,0.9688421209999999,-0.674530581,0.535518254,0.655656276,-1.6715666809999998,-0.642758825,-0.08366360099999999,1.82441579,-4.1403228389999995,9
109,0.025090162000000003,-0.667502867,-0.239184399,0.5069705729999999,0.46103356799999995,-0.04468711,-1.4629761609999998,0.976841546,0.274383987,0.34734616,1.349034368,-0.705479381,-0.00622914,0.66663247,-0.8008299440000001,-0.43729188,-0.42431051200000003,-0.416087631,-0.779906193,10
110,0.064442894,-0.943598376,-0.254383749,0.5852700670000001,0.621776961,-0.550539281,-1.148802353,1.077788843,0.022579812,0.370894004,1.4414248680000001,-1.091729395,0.350438999,0.7897161970000001,-1.7859212230000001,0.049735297000000005,0.7044737870000001,-0.728751659,-0.392036417,10
111,0.050572484,-0.997731189,-0.301669708,0.715560366,0.485789129,-0.595659476,-0.8934878159999999,0.970891965,-0.174065472,0.022019181000000002,0.773264265,-0.374278995,0.49711789799999995,0.20249093199999998,-1.079576623,0.054149222999999996,0.35017445399999997,-0.11545141199999999,-0.7105145709999999,10
